07/09/2021;  Independência do Brasil; balneario_camboriu-sc
12/10/2021;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2021;  Dia de Finados; balneario_camboriu-sc
15/11/2021;  Proclamação da República; balneario_camboriu-sc
25/12/2021;  Natal; balneario_camboriu-sc
15/02/2021; Carnaval; balneario_camboriu-sc
16/02/2021; Carnaval; balneario_camboriu-sc
17/02/2021; Carnaval; balneario_camboriu-sc
03/06/2021; Corpus Christi; balneario_camboriu-sc
01/01/2022;  Ano Novo; balneario_camboriu-sc
01/03/2022;  Carnaval; balneario_camboriu-sc
15/04/2022;  SextaFeira Santa; balneario_camboriu-sc
15/04/2022;  SextaFeira Santa; balneario_camboriu-sc
21/04/2022;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2022;  Dia do Trabalho; balneario_camboriu-sc
16/06/2022;  Corpus Christi; balneario_camboriu-sc
20/07/2022;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2022;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2022;  Independência do Brasil; balneario_camboriu-sc
12/10/2022;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2022;  Dia de Finados; balneario_camboriu-sc
15/11/2022;  Proclamação da República; balneario_camboriu-sc
25/12/2022;  Natal; balneario_camboriu-sc
28/02/2022; Carnaval; balneario_camboriu-sc
01/03/2022; Carnaval; balneario_camboriu-sc
02/03/2022; Carnaval; balneario_camboriu-sc
16/06/2022; Corpus Christi; balneario_camboriu-sc
01/01/2023;  Ano Novo; balneario_camboriu-sc
21/02/2023;  Carnaval; balneario_camboriu-sc
07/04/2023;  SextaFeira Santa; balneario_camboriu-sc
07/04/2023;  SextaFeira Santa; balneario_camboriu-sc
21/04/2023;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2023;  Dia do Trabalho; balneario_camboriu-sc
08/06/2023;  Corpus Christi; balneario_camboriu-sc
20/07/2023;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2023;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2023;  Independência do Brasil; balneario_camboriu-sc
12/10/2023;  Nossa Senhora Aparecida; balneario_camboriu-sc
02/11/2023;  Dia de Finados; balneario_camboriu-sc
15/11/2023;  Proclamação da República; balneario_camboriu-sc
25/12/2023;  Natal; balneario_camboriu-sc
20/02/2023; Carnaval; balneario_camboriu-sc
21/02/2023; Carnaval; balneario_camboriu-sc
22/02/2023; Carnaval; balneario_camboriu-sc
08/06/2023; Corpus Christi; balneario_camboriu-sc
01/01/2024;  Ano Novo; balneario_camboriu-sc
13/02/2024;  Carnaval; balneario_camboriu-sc
29/03/2024;  SextaFeira Santa; balneario_camboriu-sc
29/03/2024;  SextaFeira Santa; balneario_camboriu-sc
21/04/2024;  Dia de Tiradentes; balneario_camboriu-sc
01/05/2024;  Dia do Trabalho; balneario_camboriu-sc
30/05/2024;  Corpus Christi; balneario_camboriu-sc
20/07/2024;  Aniversário da Cidade; balneario_camboriu-sc
11/08/2024;  Dia de Santa Catarina; balneario_camboriu-sc
07/09/2024;  Independência do Brasil; balneario_camboriu-sc
